"index","fiscal_year","inflation_adjustment"
"0","1959","13.937"
"1","1960","13.363"
"2","1961","12.948"
"3","1962","12.45"
"4","1963","12.029"
"5","1964","11.511"
"6","1965","11.133"
"7","1966","10.503"
"8","1967","10.012"
"9","1968","9.499"
"10","1969","8.987"
"11","1970","8.407"
"12","1971","7.909"
"13","1972","7.482"
"14","1973","7.079"
"15","1974","6.603"
"16","1975","5.96"
"17","1976","5.467"
"18","1976TQ","5.355"
"19","1977","4.935"
"20","1978","4.578"
"21","1979","4.181"
"22","1980","3.777"
"23","1981","3.431"
"24","1982","3.182"
"25","1983","2.991"
"26","1984","2.838"
"27","1985","2.744"
"28","1986","2.664"
"29","1987","2.559"
"30","1988","2.431"
"31","1989","2.319"
"32","1990","2.219"
"33","1991","2.142"
"34","1992","2.036"
"35","1993","1.954"
"36","1994","1.896"
"37","1995","1.848"
"38","1996","1.802"
"39","1997","1.778"
"40","1998","1.734"
"41","1999","1.693"
"42","2000","1.627"
"43","2001","1.57"
"44","2002","1.527"
"45","2003","1.495"
"46","2004","1.445"
"47","2005","1.402"
"48","2006","1.359"
"49","2007","1.309"
"50","2008","1.264"
"51","2009","1.24"
"52","2010","1.223"
"53","2011","1.204"
"54","2012","1.191"
"55","2013","1.174"
"56","2014","1.151"
"57","2015","1.128"
"58","2016","1.113"
"59","2017","1.092"
"60","2018","1.067"
"61","2019","1.045"
"62","2020","1.023"
"63","2021","1"
"64","2022","1"
"65","2023","1"
"66","2024","1"
"67","2025","1"
"68","2026","1"
"69","2027","1"
"70","2028","1"
"71","2029","1"
"72","2030","1"
"73","2031","1"
"74","2032","1"
"75","2033","1"
"76","2034","1"
"77","2035","1"
