"index","mission","fiscal_year","cost_type","cost_group","cost_MUSD"
"0","Cassini","1990","Spacecraft","Development/Implementation","29.5"
"1","Cassini","1991","Launch Support","Launch Vehicle(s) & Support","2.4"
"2","Cassini","1991","Spacecraft","Development/Implementation","143"
"3","Cassini","1992","Launch Support","Launch Vehicle(s) & Support","20.1"
"4","Cassini","1992","Spacecraft","Development/Implementation","210.7"
"5","Cassini","1993","Launch Support","Launch Vehicle(s) & Support","16.2"
"6","Cassini","1993","Spacecraft","Development/Implementation","204.953"
"7","Cassini","1994","Data Analysis","Operations & Data Analysis","0.6"
"8","Cassini","1994","Launch Support","Launch Vehicle(s) & Support","86.4"
"9","Cassini","1994","Spacecraft","Development/Implementation","266.6"
"10","Cassini","1995","Data Analysis","Operations & Data Analysis","3.2"
"11","Cassini","1995","Launch Support","Launch Vehicle(s) & Support","81"
"12","Cassini","1995","Spacecraft","Development/Implementation","255"
"13","Cassini","1996","Data Analysis","Operations & Data Analysis","1.8"
"14","Cassini","1996","Launch Support","Launch Vehicle(s) & Support","88.2"
"15","Cassini","1996","Spacecraft","Development/Implementation","191.5"
"16","Cassini","1997","Data Analysis","Operations & Data Analysis","3"
"17","Cassini","1997","Launch Support","Launch Vehicle(s) & Support","92.7"
"18","Cassini","1997","Operations","Operations & Data Analysis","15"
"19","Cassini","1997","Spacecraft","Development/Implementation","74.6"
"20","Cassini","1998","Data Analysis","Operations & Data Analysis","4.7"
"21","Cassini","1998","Launch Support","Launch Vehicle(s) & Support","17.1"
"22","Cassini","1998","Operations","Operations & Data Analysis","38.1"
"23","Cassini","1999","Data Analysis","Operations & Data Analysis","8.8"
"24","Cassini","1999","Operations","Operations & Data Analysis","55.8"
"25","Cassini","2000","Data Analysis","Operations & Data Analysis","6.2"
"26","Cassini","2000","Operations","Operations & Data Analysis","55"
"27","Cassini","2001","Data Analysis","Operations & Data Analysis","4.5"
"28","Cassini","2001","Operations","Operations & Data Analysis","53.6"
"29","Cassini","2002","Data Analysis","Operations & Data Analysis","5"
"30","Cassini","2002","Operations","Operations & Data Analysis","60.8"
"31","Cassini","2003","Data Analysis","Operations & Data Analysis","5"
"32","Cassini","2003","Operations","Operations & Data Analysis","70.7"
"33","Cassini","2004","Operations","Operations & Data Analysis","81.21428571"
"34","Cassini","2005","Operations","Operations & Data Analysis","81"
"35","Cassini","2006","Operations","Operations & Data Analysis","81.25"
"36","Cassini","2007","Operations","Operations & Data Analysis","81.25"
"37","Cassini","2008","Operations","Operations & Data Analysis","81.25"
"38","Cassini","2009","Operations","Operations & Data Analysis","81.25"
"39","Cassini","2010","Operations","Operations & Data Analysis","81.25"
"40","Cassini","2011","Operations","Operations & Data Analysis","65.8"
"41","Cassini","2012","Operations","Operations & Data Analysis","60.3"
"42","Cassini","2013","Operations","Operations & Data Analysis","57.9"
"43","Cassini","2014","Operations","Operations & Data Analysis","51.6"
"44","Cassini","2015","Operations","Operations & Data Analysis","68.1"
"45","Cassini","2016","Operations","Operations & Data Analysis","58.8"
"46","Cassini","2017","Operations","Operations & Data Analysis","54.1"
"47","Cassini","2018","Operations","Operations & Data Analysis","19.2"
"48","Cassini","2019","Operations","Operations & Data Analysis","3.9"
"49","CONTOUR","1998","Formulation","Formulation","0.4"
"50","CONTOUR","1999","Formulation","Formulation","8.8"
"51","CONTOUR","2000","Development","Development/Implementation","35.2"
"52","CONTOUR","2000","Launch Support","Launch Vehicle(s) & Support","16.9"
"53","CONTOUR","2001","Development","Development/Implementation","41.6"
"54","CONTOUR","2001","Launch Support","Launch Vehicle(s) & Support","20.6"
"55","CONTOUR","2002","Development","Development/Implementation","10.8"
"56","CONTOUR","2002","Launch Support","Launch Vehicle(s) & Support","8.9"
"57","DART","2016","Formulation","Formulation","6.4"
"58","DART","2017","Formulation","Formulation","16.1"
"59","DART","2018","Formulation","Formulation","18.1"
"60","DART","2018","Implementation (incl LV)","Development/Implementation (incl LV)","22.9"
"61","DART","2019","Implementation (incl LV)","Development/Implementation (incl LV)","98"
"62","DART","2020","Implementation (incl LV)","Development/Implementation (incl LV)","72.4"
"63","DART","2021","Implementation (incl LV)","Development/Implementation (incl LV)","74.1"
"64","DART","2021","Operations","Operations & Data Analysis","1.4"
"65","DART","2022","Operations","Operations & Data Analysis","11.1"
"66","DART","2023","Operations","Operations & Data Analysis","4.5"
"67","DAVINCI","2021","Formulation","Formulation","3.5"
"68","DAVINCI","2022","Formulation","Formulation","13.5"
"69","DAVINCI","2023","Formulation","Formulation","22.8"
"70","DAVINCI","2024","Formulation","Formulation","56.7"
"71","DAVINCI","2025","Formulation","Formulation","163.3"
"72","DAVINCI","2026","Implementation (incl LV)","Development/Implementation (incl LV)","105.5"
"73","DAVINCI","2027","Implementation (incl LV)","Development/Implementation (incl LV)","177.5"
"74","Dawn","2002","Development (incl LV)","Development/Implementation (incl LV)","1"
"75","Dawn","2003","Development (incl LV)","Development/Implementation (incl LV)","36.3"
"76","Dawn","2004","Development (incl LV)","Development/Implementation (incl LV)","126.5"
"77","Dawn","2005","Development (incl LV)","Development/Implementation (incl LV)","85.9"
"78","Dawn","2006","Development (incl LV)","Development/Implementation (incl LV)","59.6"
"79","Dawn","2007","Development (incl LV)","Development/Implementation (incl LV)","63.7"
"80","Dawn","2008","Operations","Operations & Data Analysis","7.8"
"81","Dawn","2009","Operations","Operations & Data Analysis","7.6"
"82","Dawn","2010","Operations","Operations & Data Analysis","8.1"
"83","Dawn","2011","Operations","Operations & Data Analysis","14.8"
"84","Dawn","2012","Operations","Operations & Data Analysis","14.3"
"85","Dawn","2013","Operations","Operations & Data Analysis","23.3"
"86","Dawn","2014","Operations","Operations & Data Analysis","1.5"
"87","Dawn","2015","Operations","Operations & Data Analysis","17.2"
"88","Dawn","2016","Operations","Operations & Data Analysis","22.2"
"89","Dawn","2017","Operations","Operations & Data Analysis","1"
"90","Dawn","2018","Operations","Operations & Data Analysis","11.1"
"91","Dawn","2019","Operations","Operations & Data Analysis","0.2"
"92","Deep Impact","1999","Formulation","Formulation","1.5"
"93","Deep Impact","2000","Formulation","Formulation","22.7"
"94","Deep Impact","2000","Launch Services","Launch Vehicle(s) & Support","0.1"
"95","Deep Impact","2001","Development","Development/Implementation","49.9"
"96","Deep Impact","2001","Formulation","Formulation","15.5"
"97","Deep Impact","2001","Launch Services","Launch Vehicle(s) & Support","7.3"
"98","Deep Impact","2002","Development","Development/Implementation","90.9"
"99","Deep Impact","2002","Launch Services","Launch Vehicle(s) & Support","22.5"
"100","Deep Impact","2003","Development","Development/Implementation","57.7"
"101","Deep Impact","2003","Launch Services","Launch Vehicle(s) & Support","22.8"
